application_id,company,role_applied,application_url,application_date,target_name,target_title,target_linkedin_url,connection_degree,sender_identity,connection_note,note_approved_by_jeff,status,date_sent,date_connected,reply_received,priority,notes_for_rgi,created,created_by
1,Vanta,"Head of Sales, Enterprise & Strategic",,2026-04-23,Christina Cacioppo,Co-Founder & CEO,https://www.linkedin.com/in/ccacioppo/,Unknown,Jeff,"Hello Christina, I have submitted to the Head of Sales, Enterprise & Strategic role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,Med,"Cyber/compliance SaaS; CEO direct. URL VERIFIED.",2026-04-26,Claude
2,Vanta,"Head of Sales, Enterprise & Strategic",,2026-04-23,Stevie Case,Chief Revenue Officer,https://www.linkedin.com/in/steviecase/,Unknown,Jeff,"Hello Stevie, I have submitted to the Head of Sales, Enterprise & Strategic role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,Med,"CRO = direct hiring manager for this seat. URL VERIFIED.",2026-04-26,Claude
3,Omada Health,CRO,,2026-04-23,Sean Duffy,Co-Founder & CEO,https://www.linkedin.com/in/seanpduffy/,Unknown,Jeff,"Hello Sean, I have submitted to the CRO role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,Med,"Healthcare-payer (digital chronic care). CEO direct. URL VERIFIED.",2026-04-26,Claude
4,Omada Health,CRO,,2026-04-23,Wei-Li Shao,President,https://www.linkedin.com/in/wshao/,Unknown,Jeff,"Hello Wei-Li, I have submitted to the CRO role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,Med,"President; commercial leader; covers BOTH Omada applications. URL VERIFIED.",2026-04-26,Claude
5,Omada Health,VP Jumbo & Enterprise Employer Sales,,2026-04-23,Sean Duffy,Co-Founder & CEO,https://www.linkedin.com/in/seanpduffy/,Unknown,Jeff,"Hello Sean, I have submitted to the VP Jumbo & Enterprise Employer Sales role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,Med,"DUPLICATE PERSON of row 3 — DEDUPE: queue ONLY row 3 OR row 5, not both. Wei-Li covers both via row 4.",2026-04-26,Claude
6,iVerify,"VP Sales, Americas & APAC",https://jobs.ashbyhq.com/iVerify/bc3ebe18-9d52-4021-b25f-0734a588909e,2026-04-24,Danny Rogers,Co-Founder & CEO,https://www.linkedin.com/in/dannyrogers,Unknown,Jeff,"Hello Danny, I have submitted to the VP Sales, Americas & APAC role at iVerify and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,Med,"Mobile cyber. Posted via Ashby. URL VERIFIED.",2026-04-26,Claude
7,iVerify,"VP Sales, Americas & APAC",https://jobs.ashbyhq.com/iVerify/bc3ebe18-9d52-4021-b25f-0734a588909e,2026-04-24,Rocky Cole,Co-Founder,https://www.linkedin.com/in/rtcole/,Unknown,Jeff,"Hello Rocky, I have submitted to the VP Sales, Americas & APAC role at iVerify and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,Med,"Co-founder; ex-Google. URL VERIFIED.",2026-04-26,Claude
8,Ivo,Head of Enterprise Sales,https://jobs.ashbyhq.com/ivo-ai-inc/8aff6882-8146-4f93-971c-605f8605452d,2026-04-24,Min-Kyu Jung,Co-Founder & CEO,https://www.linkedin.com/in/min-kyu-jung,Unknown,Jeff,"Hello Min-Kyu, I have submitted to the Head of Enterprise Sales role at Ivo and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,Med,"Legal AI contract review. Ashby posting. URL VERIFIED.",2026-04-26,Claude
9,Sword Health,"Regional VP, Health Plan Sales (Medicare Advantage)",,2026-04-24,Virgilio Bento,Founder & CEO,https://www.linkedin.com/in/vbento,Unknown,Jeff,"Hello Virgilio, I have submitted to the Regional VP, Health Plan Sales (Medicare Advantage) role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,Med,"Healthcare-payer MSK + MA. URL VERIFIED. Note: name has special chars (Virgílio) — Aimfox may need ASCII.",2026-04-26,Claude
10,Sword Health,"Regional VP, Health Plan Sales (Medicare Advantage)",,2026-04-24,David Cohen,Chief Revenue Officer,https://www.linkedin.com/in/davidalyncohen,Unknown,Jeff,"Hello David, I have submitted to the Regional VP, Health Plan Sales (Medicare Advantage) role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,Med,"CRO = direct hiring manager for this seat. URL VERIFIED.",2026-04-26,Claude
11,Alinia AI,"Founding Director of Sales, Regulated Industries",,2026-04-25,Ariadna Font Llitjos,Co-Founder & CEO,https://www.linkedin.com/in/ariadna/,Unknown,Jeff,"Hello Ariadna, I have submitted to the Founding Director of Sales, Regulated Industries role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"T1 founding-tier. AI compliance/guardrails for regulated industries. $7.5M seed. URL VERIFIED.",2026-04-26,Claude
12,Alinia AI,"Founding Director of Sales, Regulated Industries",,2026-04-25,Jean Lange,Alinia AI (title VERIFY),https://www.linkedin.com/in/jeanflange/,Unknown,Jeff,"Hello Jean, I have submitted to the Founding Director of Sales, Regulated Industries role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"VERIFY title before send. Public profile shows Alinia AI affiliation; specific role not confirmed. HOLD until Jeff confirms in logged-in session.",2026-04-26,Claude
13,Lovable,Head of Global Sales,https://jobs.ashbyhq.com/lovable/3001d637-bf3b-4d28-a103-e59f85df62b8,2026-04-25,Anton Osika,Co-Founder & CEO,https://se.linkedin.com/in/antonosika,Unknown,Jeff,"Hello Anton, I have submitted to the Head of Global Sales role at Lovable and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"T1 founding-tier. Swedish AI; $1.8B valuation. Profile is Sweden subdomain (se.linkedin.com). URL VERIFIED.",2026-04-26,Claude
14,Lovable,Head of Global Sales,https://jobs.ashbyhq.com/lovable/3001d637-bf3b-4d28-a103-e59f85df62b8,2026-04-25,Fabian Hedin,Co-Founder,https://se.linkedin.com/in/fabian-hedin-2377b0144,Unknown,Jeff,"Hello Fabian, I have submitted to the Head of Global Sales role at Lovable and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"Co-founder building product side. Sweden subdomain. URL VERIFIED.",2026-04-26,Claude
15,Vindexa,Head of Sales,,2026-04-25,VERIFY,VERIFY,VERIFY,Unknown,Jeff,"HOLD — LinkedIn URL unverified",FALSE,Queued,,,,High,"HOLD: Vindexa is stealth/very new — AI Fund (Andrew Ng) portfolio + AES Clean Energy anchor per applications log. No public CEO, founder, or team profile confirmed in open search. Jeff to identify CEO via the LinkedIn job posting in his logged-in session (poster name visible) and add row.",2026-04-26,Claude
16,Avalara / Versori,Founding Head of Sales USA,,2026-04-25,Sean Brown,Co-Founder & CEO Versori,https://www.linkedin.com/in/sean1brown/,Unknown,Jeff,"Hello Sean, I have submitted to the Founding Head of Sales USA role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"T1 founding-tier inside Avalara post-acquisition. Sean = Versori founder now leading new GTM build. URL VERIFIED.",2026-04-26,Claude
17,Avalara / Versori,Founding Head of Sales USA,,2026-04-25,Daniel Jones,Co-Founder & CTO Versori,https://www.linkedin.com/in/dan-jones25217/,Unknown,Jeff,"Hello Daniel, I have submitted to the Founding Head of Sales USA role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"Co-founder/CTO Versori joined Avalara post-acquisition. URL VERIFIED.",2026-04-26,Claude
18,QualGent,Founding Head of GTM,,2026-04-25,Shivam Agrawal,Co-Founder & CEO,https://www.linkedin.com/in/shivam-agrawal/,Unknown,Jeff,"Hello Shivam, I have submitted to the Founding Head of GTM role at QualGent and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"T1 founding-tier YC X25. Aaron Yu (CTO/co-founder) ALREADY CONNECTED — DO NOT queue. Shivam is CEO/co-founder. URL VERIFIED.",2026-04-26,Claude
19,UP.Labs,Chief Commercial Officer,,2026-04-25,John Kuolt,Founder & CEO,https://www.linkedin.com/in/johnkuolt/,Unknown,Jeff,"Hello John, I have submitted to the Chief Commercial Officer role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"Venture studio CCO. URL VERIFIED.",2026-04-26,Claude
20,UP.Labs,Chief Commercial Officer,,2026-04-25,Katelyn Foley,President,https://www.linkedin.com/in/katelynfoley/,Unknown,Jeff,"Hello Katelyn, I have submitted to the Chief Commercial Officer role on your website and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"President; likely the CCO hiring manager. URL VERIFIED.",2026-04-26,Claude
21,Elicit,Head of Sales,,2026-04-25,Jungwon Byun,Co-Founder & COO,https://www.linkedin.com/in/jungwonbyun,Unknown,Jeff,"Hello Jungwon, I have submitted to the Head of Sales role at Elicit and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"Named manager per JD. T1 founding-tier. URL VERIFIED.",2026-04-26,Claude
22,Elicit,Head of Sales,,2026-04-25,Andreas Stuhlmuller,Co-Founder & CEO,https://www.linkedin.com/in/stuhlmueller/,Unknown,Jeff,"Hello Andreas, I have submitted to the Head of Sales role at Elicit and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"CEO. Note: name has umlaut (Stuhlmüller) — ASCII spelling used. URL VERIFIED.",2026-04-26,Claude
23,The General Intelligence Company,Head of Agentic GTM,,2026-04-25,Andrew Pignanelli,Co-Founder & CEO,https://www.linkedin.com/in/andrewpignanelli/,Unknown,Jeff,"Hello Andrew, I have submitted to the Head of Agentic GTM role at The General Intelligence Company and have built a 90-day plan I'd love to review with you. I am looking forward to connecting. Thank you, Jeff",FALSE,Queued,,,,High,"T1 founding-tier USV-backed seed. Posted via Ashby. URL VERIFIED.",2026-04-26,Claude
